code,date,value,description
CKTCEUS,198013,1435.2,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198101,137.044,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198102,121.231,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198103,121.785,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198104,110.913,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198105,111.491,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198106,120.218,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198107,136.504,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198108,133.562,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198109,121.074,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198110,119.825,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198111,119.24,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198112,131.36,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198113,1484.245,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198201,139.627,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198202,121.524,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198203,118.329,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198204,108.395,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198205,111.209,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198206,113.14,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198207,128.804,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198208,128.4,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198209,114.573,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198210,111.396,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198211,114.998,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198212,121.833,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198213,1432.231,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198301,127.167,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198302,110.54,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198303,111.907,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198304,106.843,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
